Locus	Uniprot ID	Gene Symbol	Protein Length	Spectrum Count_HBE_1	Spectrum Count_HBE_2	Spectrum Count_HBE_3	Spectrum Count_CFBE_1	Spectrum Count_CFBE_2	Spectrum Count_CFBE_3	HBE_Spectrum Count_Sum	CFBE_Spectrum Count_sum	NSAF_HBE_1	NSAF_HBE_2	NSAF_HBE_3	NSAF_CFBE_1	NSAF_CFBE_2	NSAF_CFBE_3	HBE_NSAF_avg	CFBE_NSAF_avg	CFBE_NSAF_avg/HBE_NSAF_avg	log2(CFBE_NSAF_avg/HBE_NSAF_avg)	p_value
sp|Q14696|MESD_HUMAN	Q14696	MESDC2	234	4	12	7	9	13	8	23	30	4,86696E-05	0,000135741	8,35485E-05	0,000108243	0,0001663	8,21266E-05	0,000089	0,000119	1,33	0,41	0,41372885
sp|Q5EB52|MEST_HUMAN	Q5EB52	MEST	335	41	29	38	34	13	29	108	76	0,00034846	0,000229139	0,000316807	0,000285633	0,000116162	0,000207952	0,000298	0,000203	0,68	-0,55	0,212735372
sp|P08581|MET_HUMAN	P08581	MET	1390	11	14	12	9	6	9	37	24	2,25316E-05	2,66599E-05	2,41114E-05	1,82222E-05	1,29212E-05	1,55538E-05	0,000024	0,000016	0,64	-0,65	0,01438044
sp|P53582|MAP11_HUMAN	P53582	METAP1	386	14	14	15	11	13	15	43	39	0,000103265	9,60032E-05	0,000108533	8,02009E-05	0,000100814	9,33499E-05	0,000103	0,000091	0,89	-0,17	0,1951726
sp|P50579|MAP2_HUMAN	P50579	METAP2	478	14	10	15	9	15	21	39	45	8,33899E-05	5,53754E-05	8,76435E-05	5,29893E-05	9,39352E-05	0,000105536	0,000075	0,000084	1,12	0,16	0,752960008
sp|Q9UBP6|TRMB_HUMAN	Q9UBP6	METTL1	276	8	8	6	6	8	7	22	21	8,25267E-05	7,67231E-05	6,07154E-05	6,11809E-05	8,67653E-05	6,09255E-05	0,000073	0,000070	0,95	-0,07	0,719284755
sp|Q8N6R0|MET13_HUMAN	Q8N6R0	METTL13	699	6	3	7	10	8	9	16	27	2,44392E-05	1,13603E-05	2,7969E-05	4,02621E-05	3,42593E-05	3,09297E-05	0,000021	0,000035	1,65	0,73	0,122618238
sp|Q86U44|MTA70_HUMAN	Q86U44	METTL3	580	3	7	3	2	6	7	13	15	1,47267E-05	3,19459E-05	1,44461E-05	9,70456E-06	3,09662E-05	2,89921E-05	0,000020	0,000023	1,14	0,19	0,865378035
sp|Q9GZY8|MFF_HUMAN	Q9GZY8	MFF	342	9	11	12	6	7	10	32	23	7,49255E-05	8,51357E-05	9,79967E-05	4,93741E-05	6,12685E-05	7,02399E-05	0,000086	0,000060	0,70	-0,51	0,048962873
sp|P08582|TRFM_HUMAN	P08582	MFI2	738	3	2	4	7	4	7	9	18	1,15739E-05	7,1733E-06	1,51377E-05	2,66941E-05	1,62244E-05	2,27851E-05	0,000011	0,000022	1,94	0,96	0,059430106
sp|O95140|MFN2_HUMAN	O95140	MFN2	757	6	5	14	10	2	8	25	20	2,25667E-05	1,74831E-05	5,16522E-05	3,71773E-05	7,90859E-06	2,53866E-05	0,000031	0,000023	0,77	-0,38	0,587825674
sp|P26572|MGAT1_HUMAN	P26572	MGAT1	445	8	2	5	3	3	5	15	11	5,11851E-05	1,18964E-05	3,1381E-05	1,8973E-05	2,01802E-05	2,69911E-05	0,000031	0,000022	0,70	-0,51	0,667315644
sp|Q10469|MGAT2_HUMAN	Q10469	MGAT2	447	9	6	3	2	7	6	18	15	5,73256E-05	3,55295E-05	1,87443E-05	1,2592E-05	4,68765E-05	3,22443E-05	0,000037	0,000031	0,82	-0,28	0,671368079
sp|O60502|NCOAT_HUMAN	O60502	MGEA5	916	46	44	41	19	13	32	131	64	0,00014298	0,000127146	0,00012501	5,83757E-05	4,24828E-05	8,39198E-05	0,000132	0,000062	0,47	-1,10	0,016655572
sp|Q99685|MGLL_HUMAN	Q99685	MGLL	303	6	3	4	7	11	12	13	30	5,63796E-05	2,62074E-05	3,68701E-05	6,50174E-05	0,000108671	9,51368E-05	0,000040	0,000090	2,25	1,17	0,036063239
sp|Q9BQP7|MGME1_HUMAN	Q9BQP7	MGME1	344	14	12	15	8	10	16	41	34	0,000115873	9,23353E-05	0,000121784	6,54494E-05	8,70175E-05	0,00011173	0,000110	0,000088	0,80	-0,32	0,247164403
sp|O14880|MGST3_HUMAN	O14880	MGST3	152	6	13	13	13	7	13	32	33	0,000112388	0,000226384	0,000238867	0,000240699	0,000137854	0,000205452	0,000193	0,000195	1,01	0,02	0,90270234
sp|Q5JRA6|MIA3_HUMAN	Q5JRA6	MIA3	1907	6	16	14	3	13	17	36	33	8,95806E-06	2,22083E-05	2,05038E-05	4,42736E-06	2,0406E-05	2,14145E-05	0,000017	0,000015	0,90	-0,16	0,696727595
sp|O94851|MICA2_HUMAN	O94851	MICAL2	1124	3	2	4	4	5	5	9	14	7,59921E-06	4,70987E-06	9,93917E-06	1,00154E-05	1,33158E-05	1,0686E-05	0,000007	0,000011	1,53	0,61	0,120145095
sp|Q8N3F8|MILK1_HUMAN	Q8N3F8	MICALL1	863	4	5	5	7	7	16	14	30	1,31966E-05	1,53357E-05	1,61814E-05	2,28276E-05	2,42802E-05	4,45368E-05	0,000015	0,000031	2,05	1,04	0,038566901
sp|Q8IY33|MILK2_HUMAN	Q8IY33	MICALL2	904	6	4	5	2	5	4	15	11	1,88972E-05	1,17122E-05	1,54475E-05	6,22638E-06	1,65564E-05	1,06292E-05	0,000015	0,000011	0,73	-0,46	0,294790997
sp|P14174|MIF_HUMAN	P14174	MIF	115	272	216	233	71	130	119	721	320	0,006734178	0,004971656	0,005658673	0,001737538	0,003383846	0,002485759	0,005788	0,002536	0,44	-1,19	0,01568181
sp|Q8IUF8|MINA_HUMAN	Q8IUF8	MINA	465	9	3	5	7	4	6	17	17	5,51065E-05	1,70771E-05	3,00313E-05	4,23661E-05	2,57497E-05	3,09962E-05	0,000034	0,000033	0,97	-0,04	0,878844124
sp|Q8N4C8|MINK1_HUMAN	Q8N4C8	MINK1	1332	2	10	3	8	7	7	15	22	4,27503E-06	1,9872E-05	6,29033E-06	1,69028E-05	1,57311E-05	1,26242E-05	0,000010	0,000015	1,49	0,57	0,262221758
sp|Q9UNW1|MINP1_HUMAN	Q9UNW1	MINPP1	487	7	9	11	8	9	8	27	25	4,09244E-05	4,89169E-05	6,30841E-05	4,62312E-05	5,53196E-05	3,94613E-05	0,000051	0,000047	0,92	-0,12	0,662834877
sp|Q9NXC5|MIO_HUMAN	Q9NXC5	MIOS	875	7	2	3	4	2	5	12	11	2,27774E-05	6,05016E-06	9,57568E-06	1,28655E-05	6,84206E-06	1,37269E-05	0,000013	0,000011	0,87	-0,20	0,950848955
sp|Q99797|MIPEP_HUMAN	Q99797	MIPEP	713	14	6	12	7	11	12	32	30	5,59052E-05	2,22744E-05	4,70055E-05	2,76301E-05	4,61815E-05	4,04298E-05	0,000042	0,000038	0,91	-0,13	0,902145947
sp|P46013|KI67_HUMAN	P46013	MKI67	3256	8	4	8	6	3	6	20	15	6,99551E-06	3,25178E-06	6,86218E-06	5,1861E-06	2,75805E-06	4,42667E-06	0,000006	0,000004	0,72	-0,47	0,394508378
sp|Q14165|MLEC_HUMAN	Q14165	MLEC	292	7	9	9	8	10	22	25	40	6,82541E-05	8,1584E-05	8,60828E-05	7,71047E-05	0,000102514	0,000180988	0,000079	0,000120	1,53	0,61	0,23424675
sp|P55196|AFAD_HUMAN	P55196	MLLT4	1824	33	37	26	31	26	39	96	96	5,15113E-05	5,36935E-05	3,98112E-05	4,78311E-05	4,26691E-05	5,13629E-05	0,000048	0,000047	0,98	-0,03	0,886755729
sp|Q96T76|MMS19_HUMAN	Q96T76	MMS19	1030	56	54	66	62	70	57	176	189	0,000154798	0,000138772	0,000178963	0,000169406	0,000203435	0,000132937	0,000158	0,000169	1,07	0,10	0,704678957
sp|P51948|MAT1_HUMAN	P51948	MNAT1	309	2	9	10	7	10	8	21	25	1,84283E-05	7,70955E-05	9,03853E-05	6,37549E-05	9,68739E-05	6,2193E-05	0,000062	0,000074	1,20	0,26	0,525449503
sp|Q9H8S9|MOB1A_HUMAN	Q9H8S9	MOB1A	216	19	23	18	21	25	22	60	68	0,000250446	0,000281851	0,000232742	0,000273615	0,000346459	0,000244669	0,000255	0,000288	1,13	0,18	0,380458126
sp|Q9Y3A3|PHOCN_HUMAN	Q9Y3A3	MOB4	225	7	11	7	11	14	13	25	38	8,85786E-05	0,000129406	8,68904E-05	0,000137589	0,000186256	0,000138794	0,000102	0,000154	1,52	0,60	0,06033199
sp|Q96EN8|MOCOS_HUMAN	Q96EN8	MOCOS	888	6	4	7	5	5	7	17	17	1,92376E-05	1,19232E-05	2,20162E-05	1,58464E-05	1,68547E-05	1,89363E-05	0,000018	0,000017	0,97	-0,04	0,998026665
sp|O95396|MOCS3_HUMAN	O95396	MOCS3	460	12	9	7	12	23	19	28	54	7,4274E-05	5,17881E-05	4,25008E-05	7,34171E-05	0,00014967	9,92215E-05	0,000056	0,000107	1,91	0,94	0,074169831
sp|Q13724|MOGS_HUMAN	Q13724	MOGS	837	49	59	62	89	91	78	170	258	0,00016668	0,000186583	0,000206882	0,000299253	0,000325448	0,000223861	0,000187	0,000283	1,51	0,60	0,034717171
sp|Q7Z3U7|MON2_HUMAN	Q7Z3U7	MON2	1718	8	8	6	7	26	18	22	51	1,32581E-05	1,23257E-05	9,75404E-06	1,1467E-05	4,53018E-05	2,51686E-05	0,000012	0,000027	2,32	1,21	0,161159275
sp|Q9HCE1|MOV10_HUMAN	Q9HCE1	MOV10	1003	8	12	12	8	11	13	32	32	2,27092E-05	3,16683E-05	3,34146E-05	2,24472E-05	3,28289E-05	3,11352E-05	0,000029	0,000029	0,98	-0,02	0,931869649
sp|O95563|MPC2_HUMAN	O95563	MPC2	127	4	5	4	4	2	2	13	8	8,96747E-05	0,00010421	8,79656E-05	8,86401E-05	4,71402E-05	3,783E-05	0,000094	0,000058	0,62	-0,70	0,102758535
sp|O75352|MPU1_HUMAN	O75352	MPDU1	247	3	6	3	8	5	7	12	20	3,4581E-05	6,42983E-05	3,39219E-05	9,11522E-05	6,05952E-05	6,80787E-05	0,000044	0,000073	1,66	0,73	0,091903049
sp|O75970|MPDZ_HUMAN	O75970	MPDZ	2070	2	5	4	3	6	4	11	13	2,75089E-06	6,39359E-06	5,39692E-06	4,07873E-06	8,67653E-06	4,64194E-06	0,000005	0,000006	1,20	0,26	0,626486964
sp|P34949|MPI_HUMAN	P34949	MPI	423	7	6	8	7	2	10	21	19	4,71163E-05	3,75453E-05	5,28209E-05	4,65727E-05	1,41532E-05	5,67897E-05	0,000046	0,000039	0,85	-0,23	0,531134891
sp|Q14168|MPP2_HUMAN	Q14168	MPP2	576	2	3	4	3	4	2	9	9	9,88601E-06	1,37862E-05	1,93952E-05	1,46579E-05	2,07875E-05	8,34099E-06	0,000014	0,000015	1,02	0,02	0,970200685
sp|Q8N3R9|MPP5_HUMAN	Q8N3R9	MPP5	675	6	9	5	5	7	8	20	20	2,53082E-05	3,52926E-05	2,06882E-05	2,08468E-05	3,10427E-05	2,84706E-05	0,000027	0,000027	0,99	-0,02	0,99628601
sp|Q9NZW5|MPP6_HUMAN	Q9NZW5	MPP6	540	2	20	18	12	7	25	40	44	1,05451E-05	9,8035E-05	9,30969E-05	6,25405E-05	3,88034E-05	0,000111213	0,000067	0,000071	1,05	0,08	0,687893578
sp|P25325|THTM_HUMAN	P25325	MPST	297	6	7	8	4	4	5	21	13	5,75186E-05	6,23859E-05	7,52298E-05	3,79033E-05	4,03152E-05	4,04411E-05	0,000065	0,000040	0,61	-0,72	0,003938896
sp|P49959|MRE11_HUMAN	P49959	MRE11A	708	10	14	13	5	8	14	37	27	4,02143E-05	5,23407E-05	5,12822E-05	1,98752E-05	3,38238E-05	4,75012E-05	0,000048	0,000034	0,70	-0,51	0,203431517
sp|Q9BV20|MTNA_HUMAN	Q9BV20	MRI1	369	23	19	24	24	24	24	66	72	0,000177466	0,000136293	0,000181652	0,000183045	0,000194693	0,000156241	0,000165	0,000178	1,08	0,11	0,523376496
sp|Q6IN84|MRM1_HUMAN	Q6IN84	MRM1	353	5	2	3	3	2	2	10	7	4,03282E-05	1,49969E-05	2,37358E-05	2,39178E-05	1,69598E-05	1,36102E-05	0,000026	0,000018	0,69	-0,54	0,388491486
sp|Q9BYD6|RM01_HUMAN	Q9BYD6	MRPL1	325	13	6	8	8	10	8	27	26	0,000113887	4,88667E-05	6,87485E-05	6,92756E-05	9,21047E-05	5,91312E-05	0,000077	0,000074	0,95	-0,07	0,987423987
sp|Q7Z7H8|RM10_HUMAN	Q7Z7H8	MRPL10	261	6	5	12	16	8	10	23	34	6,54522E-05	5,07078E-05	0,00012841	0,000172526	9,17518E-05	9,20385E-05	0,000082	0,000119	1,46	0,54	0,303947734
sp|Q9Y3B7|RM11_HUMAN	Q9Y3B7	MRPL11	192	3	5	4	2	3	4	12	9	4,4487E-05	6,89309E-05	5,81856E-05	2,93159E-05	4,67719E-05	5,00459E-05	0,000057	0,000042	0,74	-0,44	0,205649659
sp|P52815|RM12_HUMAN	P52815	MRPL12	198	3	36	52	54	48	68	91	170	4,3139E-05	0,000481263	0,000733491	0,000767543	0,000725673	0,000824999	0,000419	0,000773	1,84	0,88	0,267987739
sp|Q9BYD1|RM13_HUMAN	Q9BYD1	MRPL13	178	5	3	5	4	3	5	13	12	7,99767E-05	4,46115E-05	7,84524E-05	6,32432E-05	5,04506E-05	6,74776E-05	0,000068	0,000060	0,89	-0,16	0,699401096
sp|Q9P015|RM15_HUMAN	Q9P015	MRPL15	296	6	8	8	5	6	9	22	20	5,77129E-05	7,15391E-05	7,5484E-05	4,75392E-05	6,06771E-05	7,304E-05	0,000068	0,000060	0,89	-0,18	0,430440368
sp|Q9NX20|RM16_HUMAN	Q9NX20	MRPL16	251	4	3	4	2	4	3	11	9	4,53732E-05	3,16368E-05	4,45085E-05	2,24249E-05	4,77036E-05	2,87116E-05	0,000041	0,000033	0,81	-0,30	0,386070558
sp|Q5T653|RM02_HUMAN	Q5T653	MRPL2	305	7	8	4	7	3	6	19	16	6,53449E-05	6,94281E-05	3,66283E-05	6,4591E-05	2,94433E-05	4,72565E-05	0,000057	0,000047	0,82	-0,28	0,539903912
sp|Q13084|RM28_HUMAN	Q13084	MRPL28	256	7	8	10	7	12	11	25	30	7,78523E-05	8,27171E-05	0,000109098	7,69541E-05	0,000140316	0,00010322	0,000090	0,000107	1,19	0,25	0,489054262
sp|P09001|RM03_HUMAN	P09001	MRPL3	348	11	2	7	5	5	6	20	16	8,99968E-05	1,52123E-05	5,61792E-05	4,04357E-05	4,30087E-05	4,14173E-05	0,000054	0,000042	0,77	-0,37	0,969178217
sp|Q9BZE1|RM37_HUMAN	Q9BZE1	MRPL37	423	23	13	11	9	11	13	47	33	0,000154811	8,13482E-05	7,26288E-05	5,98792E-05	7,78426E-05	7,38266E-05	0,000103	0,000071	0,69	-0,55	0,260625841
sp|Q96DV4|RM38_HUMAN	Q96DV4	MRPL38	380	5	7	5	4	5	2	17	11	3,74628E-05	4,87595E-05	3,67488E-05	2,96244E-05	3,93869E-05	1,26432E-05	0,000041	0,000027	0,66	-0,59	0,226090565
sp|Q9NYK5|RM39_HUMAN	Q9NYK5	MRPL39	338	5	8	2	3	3	5	15	11	4,21179E-05	6,26496E-05	1,65261E-05	2,49792E-05	2,65687E-05	3,55356E-05	0,000040	0,000029	0,72	-0,48	0,643272807
sp|Q9BYD3|RM04_HUMAN	Q9BYD3	MRPL4	311	10	11	12	11	10	15	33	36	9,15489E-05	9,36219E-05	0,000107765	9,9542E-05	9,62509E-05	0,000115862	0,000098	0,000104	1,06	0,09	0,468199556
sp|Q9NQ50|RM40_HUMAN	Q9NQ50	MRPL40	206	5	6	4	5	5	5	15	15	6,91061E-05	7,70955E-05	5,42312E-05	6,83088E-05	7,26554E-05	5,83059E-05	0,000067	0,000066	0,99	-0,01	0,996896297
sp|Q8IXM3|RM41_HUMAN	Q8IXM3	MRPL41	137	6	8	4	4	9	2	18	15	0,000124694	0,000154566	8,15447E-05	8,217E-05	0,000196647	3,50687E-05	0,000120	0,000105	0,87	-0,20	0,557475707
sp|Q9H9J2|RM44_HUMAN	Q9H9J2	MRPL44	332	4	9	9	6	8	12	22	26	3,43033E-05	7,17546E-05	7,57113E-05	5,08613E-05	7,21302E-05	8,68266E-05	0,000061	0,000070	1,15	0,21	0,583127874
sp|Q9BRJ2|RM45_HUMAN	Q9BRJ2	MRPL45	306	15	14	13	3	9	7	42	19	0,000139567	0,000121102	0,000118653	2,75914E-05	8,80413E-05	5,49524E-05	0,000126	0,000057	0,45	-1,15	0,056946245
sp|Q9H2W6|RM46_HUMAN	Q9H2W6	MRPL46	279	7	7	8	5	7	3	22	15	7,14344E-05	6,64108E-05	8,00834E-05	5,04359E-05	7,51033E-05	2,58301E-05	0,000073	0,000050	0,69	-0,53	0,22583262
sp|Q13405|RM49_HUMAN	Q13405	MRPL49	166	4	4	3	2	3	2	11	7	6,86065E-05	6,37818E-05	5,04742E-05	3,39075E-05	5,40976E-05	2,89422E-05	0,000061	0,000039	0,64	-0,64	0,08572986
sp|Q8N5N7|RM50_HUMAN	Q8N5N7	MRPL50	158	12	3	6	7	5	4	21	16	0,000216241	5,02585E-05	0,00010606	0,000124685	9,47279E-05	6,08153E-05	0,000124	0,000093	0,75	-0,41	0,754335386
sp|Q6P161|RM54_HUMAN	Q6P161	MRPL54	138	4	4	6	3	14	3	14	20	8,25267E-05	7,67231E-05	0,000121431	6,11809E-05	0,000303679	5,22218E-05	0,000094	0,000139	1,49	0,57	0,900107285
sp|Q9BYD2|RM09_HUMAN	Q9BYD2	MRPL9	267	4	10	7	2	5	11	21	18	4,26542E-05	9,91366E-05	7,32223E-05	2,10811E-05	5,60562E-05	9,89672E-05	0,000072	0,000059	0,82	-0,29	0,562479271
sp|P82912|RT11_HUMAN	P82912	MRPS11	194	6	8	7	14	4	7	21	25	8,80568E-05	0,000109152	0,000100775	0,000203095	6,17196E-05	8,66775E-05	0,000099	0,000117	1,18	0,24	0,920374902
sp|Q9Y2R5|RT17_HUMAN	Q9Y2R5	MRPS17	130	5	5	10	4	7	7	20	18	0,000109507	0,000101806	0,000214839	8,65945E-05	0,000161183	0,000129349	0,000142	0,000126	0,88	-0,18	0,768678567
sp|Q9Y676|RT18B_HUMAN	Q9Y676	MRPS18B	258	15	12	13	9	14	19	40	42	0,000165533	0,000123114	0,000140728	9,8174E-05	0,000162433	0,000176906	0,000143	0,000146	1,02	0,03	0,979674073
sp|Q9Y3D5|RT18C_HUMAN	Q9Y3D5	MRPS18C	142	7	7	6	5	5	8	20	18	0,000140353	0,000130483	0,00011801	9,90959E-05	0,000105401	0,000135335	0,000130	0,000113	0,87	-0,19	0,259248628
sp|P82650|RT22_HUMAN	P82650	MRPS22	360	13	12	11	12	11	12	36	35	0,000102815	8,82315E-05	8,53388E-05	9,38108E-05	9,14651E-05	8,00735E-05	0,000092	0,000088	0,96	-0,06	0,626163994
sp|Q9BYN8|RT26_HUMAN	Q9BYN8	MRPS26	205	4	5	5	4	5	5	14	14	5,55546E-05	6,45597E-05	6,81197E-05	5,49136E-05	7,30098E-05	5,85903E-05	0,000063	0,000062	0,99	-0,01	0,907274603
sp|Q92552|RT27_HUMAN	Q92552	MRPS27	414	13	16	9	14	18	18	38	50	8,94039E-05	0,000102297	6,07154E-05	9,51703E-05	0,000130148	0,000104444	0,000084	0,000110	1,31	0,39	0,195963867
sp|Q9NP92|RT30_HUMAN	Q9NP92	MRPS30	439	3	9	6	4	8	6	18	18	1,94567E-05	5,42654E-05	3,81719E-05	2,5643E-05	5,45495E-05	3,28319E-05	0,000037	0,000038	1,01	0,01	0,912958129
sp|Q92665|RT31_HUMAN	Q92665	MRPS31	395	8	17	8	26	5	8	33	39	5,76642E-05	0,000113919	5,65652E-05	0,000185247	3,78912E-05	4,86522E-05	0,000076	0,000091	1,19	0,25	0,961211477
sp|P82930|RT34_HUMAN	P82930	MRPS34	218	11	10	8	8	12	8	29	28	0,000143665	0,00012142	0,000102492	0,000103278	0,000164774	8,81543E-05	0,000123	0,000119	0,97	-0,05	0,795926266
sp|P82673|RT35_HUMAN	P82673	MRPS35	323	2	4	10	4	7	6	16	17	1,76295E-05	3,27795E-05	8,64677E-05	3,48523E-05	6,48725E-05	4,4623E-05	0,000046	0,000048	1,05	0,08	0,661844214
sp|P82909|RT36_HUMAN	P82909	MRPS36	103	7	6	6	6	3	4	19	13	0,000193497	0,000154191	0,000162694	0,000163941	8,71865E-05	9,32895E-05	0,000170	0,000115	0,67	-0,57	0,11148828
sp|P82932|RT06_HUMAN	P82932	MRPS6	125	15	17	18	18	3	16	50	37	0,00034166	0,000359985	0,000402179	0,000405262	7,18417E-05	0,000307482	0,000368	0,000262	0,71	-0,49	0,349893111
sp|Q9Y2R9|RT07_HUMAN	Q9Y2R9	MRPS7	242	8	6	5	2	4	7	19	13	9,41213E-05	6,56268E-05	5,77047E-05	2,32589E-05	4,94777E-05	6,94852E-05	0,000072	0,000047	0,65	-0,61	0,233202523
sp|P82933|RT09_HUMAN	P82933	MRPS9	396	6	18	11	28	5	13	35	46	4,3139E-05	0,000120316	7,75808E-05	0,000198993	3,77955E-05	7,88602E-05	0,000080	0,000105	1,31	0,39	0,830477986
sp|Q96E11|RRFM_HUMAN	Q96E11	MRRF	262	9	6	10	10	11	9	25	30	9,78036E-05	6,06171E-05	0,0001066	0,000107417	0,000125677	8,25185E-05	0,000088	0,000105	1,19	0,25	0,427600419
sp|Q9UKD2|MRT4_HUMAN	Q9UKD2	MRTO4	239	9	4	12	4	7	8	25	19	0,000107216	4,43004E-05	0,00014023	4,71016E-05	8,76729E-05	8,04085E-05	0,000097	0,000072	0,74	-0,44	0,591771689
sp|P43246|MSH2_HUMAN	P43246	MSH2	934	38	34	42	32	39	37	114	108	0,000115838	9,63556E-05	0,000125591	9,64222E-05	0,000124992	9,51623E-05	0,000113	0,000106	0,94	-0,09	0,602375852
sp|P52701|MSH6_HUMAN	P52701	MSH6	1360	40	39	49	41	36	59	128	136	8,37403E-05	7,59051E-05	0,000100627	8,48436E-05	7,92371E-05	0,000104213	0,000087	0,000089	1,03	0,04	0,807520376
sp|Q9P289|MST4_HUMAN	Q9P289	MST4	416	12	9	9	7	16	9	30	32	8,21299E-05	5,72657E-05	6,04235E-05	4,73564E-05	0,000115131	5,19708E-05	0,000067	0,000071	1,07	0,10	0,997587102
sp|O94776|MTA2_HUMAN	O94776	MTA2	668	12	14	21	15	10	22	47	47	5,11468E-05	5,54749E-05	8,7801E-05	6,31959E-05	4,48114E-05	7,91145E-05	0,000065	0,000062	0,96	-0,06	0,88804877
sp|Q13126|MTAP_HUMAN	Q13126	MTAP	283	15	16	14	12	28	24	45	64	0,00015091	0,000149651	0,000138165	0,000119335	0,000296167	0,00020372	0,000146	0,000206	1,41	0,50	0,352656547
sp|Q9NZJ7|MTCH1_HUMAN	Q9NZJ7	MTCH1	389	15	5	15	15	14	15	35	44	0,000109788	3,40224E-05	0,000107696	0,000108521	0,000107732	9,263E-05	0,000084	0,000103	1,23	0,30	0,445804791
sp|Q9Y6C9|MTCH2_HUMAN	Q9Y6C9	MTCH2	303	13	15	8	11	21	12	36	44	0,000122156	0,000131037	7,37401E-05	0,00010217	0,000207464	9,51368E-05	0,000109	0,000135	1,24	0,31	0,59295981
sp|P00403|COX2_HUMAN	P00403	MT-CO2	227	12	3	11	17	8	15	26	40	0,000150511	3,49817E-05	0,000135339	0,000210764	0,000105494	0,000158736	0,000107	0,000158	1,48	0,57	0,35541887
sp|Q86UE4|LYRIC_HUMAN	Q86UE4	MTDH	582	15	22	21	11	14	14	58	39	7,33807E-05	0,000100056	0,000100775	5,31917E-05	7,20062E-05	5,7785E-05	0,000091	0,000061	0,67	-0,58	0,043640719
sp|P11586|C1TC_HUMAN	P11586	MTHFD1	935	177	150	128	174	113	134	455	421	0,000538983	0,000424644	0,000382345	0,000523735	0,00036177	0,000344273	0,000449	0,000410	0,91	-0,13	0,588736844
sp|Q6UB35|C1TM_HUMAN	Q6UB35	MTHFD1L	978	15	18	16	13	13	7	49	33	4,36683E-05	4,87168E-05	4,56917E-05	3,74092E-05	3,97896E-05	1,71937E-05	0,000046	0,000031	0,68	-0,55	0,177117921
sp|P13995|MTDC_HUMAN	P13995	MTHFD2	350	21	20	18	15	26	26	59	67	0,00017083	0,000151254	0,000143635	0,000120614	0,000222367	0,000178449	0,000155	0,000174	1,12	0,16	0,67241578
sp|Q13496|MTM1_HUMAN	Q13496	MTM1	603	5	2	2	3	2	4	9	9	2,36084E-05	8,77926E-06	9,26337E-06	1,40016E-05	9,92837E-06	1,5935E-05	0,000014	0,000013	0,96	-0,06	0,898469543
sp|Q9C0I1|MTMRC_HUMAN	Q9C0I1	MTMR12	747	2	6	3	4	4	5	11	13	7,62295E-06	2,12606E-05	1,12165E-05	1,507E-05	1,60289E-05	1,6079E-05	0,000013	0,000016	1,18	0,23	0,446164156
sp|P03915|NU5M_HUMAN	P03915	MT-ND5	603	3	8	11	14	7	5	22	26	1,4165E-05	3,5117E-05	5,09486E-05	6,53408E-05	3,47493E-05	1,99188E-05	0,000033	0,000040	1,20	0,26	0,725346786
sp|P42345|MTOR_HUMAN	P42345	MTOR	2549	30	19	19	21	20	23	68	64	3,35093E-05	1,97301E-05	2,08181E-05	2,31859E-05	2,34869E-05	2,16754E-05	0,000025	0,000023	0,92	-0,12	0,778452488
sp|Q9NVV4|PAPD1_HUMAN	Q9NVV4	MTPAP	582	6	15	6	9	6	8	27	23	2,93523E-05	6,82203E-05	2,87929E-05	4,35205E-05	3,08598E-05	3,302E-05	0,000042	0,000036	0,85	-0,23	0,787281073
sp|P58546|MTPN_HUMAN	P58546	MTPN	118	4	4	9	6	7	4	17	17	9,65143E-05	8,9727E-05	0,000213018	0,000143101	0,000177575	8,14306E-05	0,000133	0,000134	1,01	0,01	0,920750253
sp|Q13505|MTX1_HUMAN	Q13505	MTX1	466	5	3	6	10	5	10	14	25	3,0549E-05	1,70404E-05	3,59602E-05	6,03932E-05	3,21181E-05	5,15494E-05	0,000028	0,000048	1,72	0,79	0,131838037
sp|O75431|MTX2_HUMAN	O75431	MTX2	263	8	8	7	10	12	14	23	36	8,6606E-05	8,05155E-05	7,43359E-05	0,000107008	0,000136581	0,000127874	0,000080	0,000124	1,54	0,62	0,007397129
sp|P22033|MUTA_HUMAN	P22033	MUT	750	5	3	4	5	7	9	12	21	1,89811E-05	1,05878E-05	1,48955E-05	1,87622E-05	2,79384E-05	2,88264E-05	0,000015	0,000025	1,70	0,76	0,069029459
sp|P53602|MVD1_HUMAN	P53602	MVD	400	17	11	18	12	10	20	46	42	0,000121005	7,2791E-05	0,000125681	8,44297E-05	7,48351E-05	0,00012011	0,000106	0,000093	0,87	-0,19	0,607552255
sp|Q03426|KIME_HUMAN	Q03426	MVK	396	4	5	7	4	5	8	16	17	2,87593E-05	3,3421E-05	4,93696E-05	2,84275E-05	3,77955E-05	4,85294E-05	0,000037	0,000038	1,03	0,04	0,89486612
sp|Q9BQG0|MBB1A_HUMAN	Q9BQG0	MYBBP1A	1328	49	58	66	66	80	69	173	215	0,000105054	0,000115605	0,000138804	0,000139868	0,000180325	0,000124813	0,000120	0,000148	1,24	0,31	0,200669488
sp|Q99417|MYCBP_HUMAN	Q99417	MYCBP	103	5	6	7	4	12	7	18	23	0,000138212	0,000154191	0,000189809	0,000109294	0,000348746	0,000163257	0,000161	0,000207	1,29	0,37	0,704812026
